TsRegressionPreventer::SetResult:
  adjusted: true
0.437811 0.055688
0.442786 0.057310
0.447761 0.058968
0.452736 0.060663
0.457711 0.062395
0.462687 0.064167
0.467662 0.065978
0.472637 0.067830
0.477612 0.069723
0.482587 0.071659
0.487562 0.073639
0.492537 0.075664
0.497512 0.077735
0.502488 0.079854
0.507463 0.082021
0.512438 0.084238
0.517413 0.086507
0.522388 0.088829
0.527363 0.091206
0.532338 0.093638
0.537313 0.096129
0.542289 0.098680
0.547264 0.101293
0.552239 0.103969
0.557214 0.106711
0.562189 0.109522
0.567164 0.112403
0.572139 0.115357
0.577114 0.118387
0.582090 0.121496
0.587065 0.124686
0.592040 0.127962
0.597015 0.131325
0.601990 0.134781
0.606965 0.138332
0.611940 0.141983
0.616915 0.145738
0.621891 0.149603
0.626866 0.153583
0.631841 0.157682
0.636816 0.161907
0.641791 0.166266
0.646766 0.170763
0.651741 0.175409
0.656716 0.180210
0.661692 0.185177
0.666667 0.190319
0.671642 0.195648
0.676617 0.201177
0.681592 0.206919
0.686567 0.212892
0.691542 0.219111
0.696517 0.225594
0.701493 0.232370
0.706468 0.239458
0.711443 0.246894
0.716418 0.254709
0.721393 0.262945
0.726368 0.271650
0.731343 0.280884
0.736318 0.290716
0.741294 0.301234
0.746269 0.312551
0.751244 0.324807
0.756219 0.338194
0.761194 0.352971
0.766169 0.369511
0.771144 0.388382
0.776119 0.410521
0.781095 0.437682
0.786070 0.473936
0.791045 0.535146
0.796020 0.786450
0.800995 0.832623
0.805970 0.859001
0.810945 0.877922
0.815920 0.892721
0.820896 0.904853
0.825871 0.915094
0.830846 0.923915
0.835821 0.931623
0.840796 0.938433
0.845771 0.944500
0.850746 0.949942
0.855721 0.954848
0.860697 0.959289
0.865672 0.963323
0.870647 0.966997
0.875622 0.970350
0.880597 0.973414
0.885572 0.976218
0.890547 0.978785
0.895522 0.981134
0.900498 0.983285
0.905473 0.985253
0.910448 0.987052
0.915423 0.988693
0.920398 0.990189
0.925373 0.991548
0.930348 0.992779
0.935323 0.993890
0.940299 0.994889
0.945274 0.995782
0.950249 0.996574
0.955224 0.997272
0.960199 0.997880
0.965174 0.998403
0.970149 0.998846
0.975124 0.999211
0.980100 0.999503
0.985075 0.999724
1.000000 1.000000
1.200000 1.000000
